"Please select","Please select"
"Hour","Hour"
"Day","Day"
"Week","Week"
"Month","Month"
"Year","Year"
"Product","Product"
"Mini cart","Mini cart"
"Cart","Cart"
"Checkout","Checkout"
"Order mail","Order mail"
"Order view admin","Order view admin"
"Order view customer","Order view customer"
"Invoice mail","Invoice mail"
"Invoice view admin","Invoice view customer"
"Shipment mail","Shipment mail"
"Shipment view admin","Shipment view admin"
"Shipment view customer","Shipment view customer"
"Creditmemo mail","Creditmemo mail"
"Creditmemo view admin","Creditmemo view admin"
"Creditmemo view customer","Creditmemo view customer"
"Order create admin","Order create admin"
